route_id,lbr_vehicle_string,bustimes_types,bustimes_observed_regs,our_make,our_vehicle_type,our_propulsion,our_deck,tfl_observed_reg_count
1,B5LH/Gemini 3,ADL Enviro400H MMC,18,ALEXANDER DENNIS,B5LH/Gemini 3,hybrid,double,36
100,D8UR/Enviro200 MMC EV,,0,BYD,D8UR/Enviro200 MMC EV,electric,single,15
101,BYD B11E02 10.9m,,0,BYD,BYD B11E02 10.9m,electric,single,19
102,B5LH/Gemini 2,Volvo B5LH Wright Eclipse Gemini 3 | Volvo B5LH Wright Eclipse Gemini 2,38,VOLVO,B5LH/Gemini 2,hybrid,double,38
103,Trident/Enviro400,Volvo B5LH Wright Eclipse Gemini 3 | ADL Enviro400,32,VOLVO,Trident/Enviro400,diesel,double,32
104,Trident/Enviro400,ADL Enviro400 | ADL Enviro400H,19,ALEXANDER DENNIS,Trident/Enviro400,diesel,double,30
105,B5LH/Gemini 3,Volvo B5LH Wright Eclipse Gemini 3,34,VOLVO,B5LH/Gemini 3,hybrid,double,34
106,DD/Enviro400EV City,BYD D8UR-DD ADL Enviro400EV,36,BYD,DD/Enviro400EV City,electric,double,37
107,B5LH/Gemini 3,Volvo B5LH MCV EvoSeti | Volvo B9TL Wright Eclipse Gemini 2 | Volvo B5LH Wright Eclipse Gemini 3,23,VOLVO,B5LH/Gemini 3,hybrid,double,23
108,D9UR/Enviro200 MMC EV,BYD D8UR-DD ADL Enviro400EV | ADL Enviro400H MMC,3,BYD D9UR,D9UR/Enviro200 MMC EV,electric,single,27
108D,,,0,,,,,0
109,E40H/Enviro400H MMC,Wright StreetDeck Electroliner | ADL Enviro400 MMC | ADL Enviro400H | ADL Enviro400H MMC,38,ALEXANDER DENNIS,E40H/Enviro400H MMC,hybrid,double,38
11,New Bus for London,,0,WRIGHTBUS,New Bus for London,hybrid,double,0
110,E20D/Enviro200 MMC,ADL Enviro200 MMC,33,ALEXANDER DENNIS,E20D/Enviro200 MMC,diesel,single,33
111,Streetdeck Electroliner 10.5m,Wright StreetDeck Electroliner | ADL Enviro400 MMC | ADL Enviro400H MMC,34,WRIGHTBUS,Streetdeck Electroliner 10.5m,electric,double,34
