route_id,vehicle_string,garage_code,pvr
1,B5LH/Gemini 3,Q,23
100,D8UR/Enviro200 MMC EV,Q,9
101,BYD B11E02 10.9m,RR,9
102,B5LH/Gemini 2,AD,26
103,Trident/Enviro400,GY,14
104,Trident/Enviro400,RR,12
105,B5LH/Gemini 3,WK,16
106,DD/Enviro400EV City,NP,15
107,B5LH/Gemini 3,PB,11
108,D9UR/Enviro200 MMC EV,NX,18
109,E40H/Enviro400H MMC,BC,26
11,New Bus for London,SW,14
110,E20D/Enviro200 MMC,AV,11
111,Streetdeck Electroliner 10.5m,TF,26
112,E20D/Enviro200 MMC,W,17
113,Streetdeck Electroliner 10.5m,EW,21
114,B5LH/Gemini 3,UX,17
115,E40H/Enviro400H MMC,DS,18
116,B5LH/Gemini 3,WK,7
117,Citaro K 10.5m,AV,10
119,DD/Enviro400EV City,C,14
12,New Bus for London,Q,15
120,B5LH/Gemini 3,AH,17
121,DB300/Gemini 2,E,22
122,E40H/Enviro400H,PD,19
123,?,AR,20
124,E20D/Enviro200,TL,17
125,DD/Enviro400EV City,BT,18
126,E20D/Enviro200,SM,11
127,Trident/Enviro400,C,17
128,E40D/Enviro400,NS,15
129,BYD B11E02 10.9m,DS,22
13,B5LH/EvoSeti,X,21
130,E20D/Enviro200 MMC,BC,12
131,Streetdeck Electroliner 10.5m,AL,21
132,DD/Enviro400EV City,BX,16
133,Streetdeck Electroliner 10.5m,QB,24
134,MetroDecker EV 10.5m,PB,20
135,B5LH/Gemini 3,HO,15
136,E40D/Enviro400,TL,22
137,New Bus for London,BN,28
138,E20D/Enviro200 1D ?,TL,3
139,B5LH/Eclipse Gemini,W,18
14,E40H/Enviro400H MMC,AF,21
140,B5LH/Gemini 3,HD,21
141,BYD B11E02 10.9m,AD,25
142,DD/Enviro400EV City,EW,16
143,Kite Electroliner 10.3m,W,14
144,B5LH/Gemini 3,NP,15
145,E40H/Enviro400H MMC,BK,17
146,E20D/Enviro200 MMC,TB,1
147,E40D/Enviro400,RR,20
148,New Bus for London,S,17
149,New Bus for London,AR,30
15,New Bus for London,DS,14
150,Trident/Enviro400,DX,15
151,Streetdeck Electroliner 10.5m,A,15
152,D8UR/Enviro200MMC EV,AL,14
153,Kite Electroliner 10.9m,HT,9
154,DD/Enviro400EV City,A,16
155,B5LH/Gemini 3,SW,17
156,E40H/Enviro400H,QB,15
157,DD/E400MMC EV,AL,17
158,DB300/Gemini 2,EC,25
159,New Bus for London,QB,22
16,New Bus for London,W,15
160,DD/Enviro400EV City,TL,13
161,E40H/Enviro400H MMC,PD,16
162,E200Dart/Enviro200,SM,10
163,D8UR/Enviro200MMC EV,AL,11
164,D8UR/Enviro200MMC EV,AL,12
165,Trident/Enviro400,RM,13
166,E200Dart/Enviro200,TC,8
167,E20D/Enviro200 MMC,BK,7
169,Streetdeck Electroliner 10.5m,BK,14
17,New Bus for London,HT,15
170,E200Dart/Enviro200,SW,18
171,E40H/Enviro400H MMC,NX,15
172,E40H/Enviro400H MMC,NX,14
173,DD/Enviro400EV City,BK,16
174,DD/Enviro400EV City,RM,26
175,DB300/Gemini 2,DX,14
176,New Bus for London,Q,22
177,B5LH/Enviro400H MMC,PD,21
178,E40D/Enviro400,MG,7
179,E40D/Enviro400,BK,13
18,B5LH/Gemini 3,X,37
180,E40H/Enviro400H,PD,17
181,E20D/Enviro200 MMC,KB,13
182,B5LH/Gemini 3,HD,23
183,DD/Enviro400EV City,SO,19
184,D8UR/Enviro200MMC EV,NP,18
185,E40H/Enviro400H MMC,Q,24
186,B5LH/Gemini 2,HD,16
187,BZL (sd)/MCV,WJ,11
188,BYD B11E02 10.9m,Q,22
189,New Bus for London,W,16
19,New Bus for London,SF,21
190,E20D/Enviro200 MMC,AH,10
191,DB300/Gemini 2,E,19
192,E20D/Enviro200 MMC,E,15
193,E20D/Enviro200 MMC,NS,11
194,DB300/Gemini 2,TC,14
195,E20D/Enviro200 MMC,GW,16
196,Enviro400EV 10.5m,N,16
197,E40H/Enviro400H MMC,PM,15
198,E40H/Enviro400H City,N,12
199,Streetdeck Electroliner 10.5m,TL,12
2,B5LH/Gemini 3,N,20
20,E40H/Enviro400H City,T,10
200,MetroDecker EV 10.5m,AL,14
201,E20D/Enviro200,BC,11
202,E40H/Enviro400H MMC,N,16
203,B5LH/Gemini 3,AV,7
204,Streetdeck Electroliner 10.5m,EW,15
205,E40H/Enviro400H,BW,21
206,E20D/Enviro200,WJ,11
207,E40H/Enviro400H MMC,GW,25
208,E40H/Enviro400H MMC,MB,16
209,E20D/Enviro200 MMC,SW,1
21,New Bus for London,NX,24
210,BYD B11E02 10.9m,W,14
211,New Bus for London,QB,14
212,DD/Enviro400EV City,NP,12
213,DD/Enviro400EV City,A,14
214,D8UR/Enviro200MMC EV,RA,19
215,New Bus for London,T,5
216,E20D/Enviro200 MMC,FW,11
217,DB300/Gemini 2,E,11
218,Kite Electroliner 10.9m,X,9
219,D8UR/Enviro200MMC EV,AL,12
22,B5LH/EvoSeti,AF,18
220,B5LH/Gemini 3,V,25
221,B5LH/Gemini 3,WN,23
222,B5LH/Gemini 3,UX,14
223,E20D/Enviro200 MMC,WJ,7
224,E20D/Enviro200 MMC,AO,8
225,E20D/Enviro200 2D ?,TL,6
226,D8UR/Enviro200MMC EV,BT,16
227,Streetlite DF 11.5m,SM,12
228,BZL (sd)/MCV,WJ,7
229,E40D/Enviro400,DT,18
23,MetroDecker EV 10.5m,X,14
230,Streetdeck Electroliner 10.5m,NP,11
231,B9TL/Gemini 2,PB,7
232,Streetlite DF 10.8m,NP,17
233,E100EV/Enviro100EV 8.5m,MB,6
234,E20D/Enviro200,HT,12
235,D8UR/Enviro200MMC EV,WK,21
236,Streetlite DF 10.8m,HO,14
237,B5LH/Gemini 3,AH,21
238,E40D/Enviro400,BK,12
24,New Bus for London,QB,16
240,Streetdeck Electroliner 10.5m,EW,9
241,E40D/Enviro400,WH,13
242,Streetdeck Electroliner 10.5m,HK,14
243,Streetdeck Electroliner 10.5m,AR,27
244,E200Dart/Enviro200,MG,14
245,B5LH/Gemini 3,AO,12
246,E200Dart/Enviro200,TB,6
247,Streetdeck Electroliner 10.5m,NS,12
248,New Bus for London,GY,15
249,B5LH/Gemini 3,N,14
25,E40H/Enviro400H MMC,BW,31
250,Trident/Enviro400,TH,22
251,BZL (sd)/MCV,EW,13
252,E40D/Enviro400,RM,13
253,New Bus for London,CT,19
254,New Bus for London,SF,23
255,Kite Electroliner 10.3m,TH,9
256,E40D/Enviro400,RM,11
257,Streetdeck Electroliner 10.5m,T,16
258,B9TL/Gemini 2,HD,12
259,New Bus for London,AR,16
26,E40H/Enviro400H City,HK,20
260,B5LH/Gemini 3,AC,17
261,E40D/Enviro400,TB,14
262,DD/Enviro400EV City,RR,10
263,B5LH/Gemini 2,PB,20
