registration,operator_slug,fleet_no,last_route,vehicle_type
LX12DAU,stagecoach-london,10101,650,ADL Enviro400
LX12DBO,stagecoach-london,10102,365,ADL Enviro400
LX12DBU,stagecoach-london,10103,D6,ADL Enviro400
LX12DBV,stagecoach-london,10104,241,ADL Enviro400
LX12DBY,stagecoach-london,10105,649,ADL Enviro400
LX12DBZ,stagecoach-london,10106,650,ADL Enviro400
LX12DCE,stagecoach-london,10107,496,ADL Enviro400
LX12DCF,stagecoach-london,10108,650,ADL Enviro400
LX12DCO,stagecoach-london,10109,372,ADL Enviro400
LX12DCU,stagecoach-london,10110,256,ADL Enviro400
LX12DCV,stagecoach-london,10111,256,ADL Enviro400
LX12DCY,stagecoach-london,10112,256,ADL Enviro400
LX12DCZ,stagecoach-london,10113,122,ADL Enviro400
LX12DDA,stagecoach-london,10114,161,ADL Enviro400
LX12DDE,stagecoach-london,10115,422,ADL Enviro400
LX12DDF,stagecoach-london,10116,241,ADL Enviro400
LX12DDJ,stagecoach-london,10117,275,ADL Enviro400
LX12DDK,stagecoach-london,10118,215,ADL Enviro400
LX12DDL,stagecoach-london,10119,275,ADL Enviro400
LX12DDN,stagecoach-london,10120,275,ADL Enviro400
LX12DDO,stagecoach-london,10121,275,ADL Enviro400
LX12DDU,stagecoach-london,10122,275,ADL Enviro400
LX12DDV,stagecoach-london,10123,275,ADL Enviro400
LX12DDY,stagecoach-london,10124,128,ADL Enviro400
LX12DDZ,stagecoach-london,10125,128,ADL Enviro400
LX12DFA,stagecoach-london,10127,128,ADL Enviro400
LX12DFC,stagecoach-london,10128,128,ADL Enviro400
LX12DFD,stagecoach-london,10129,294,ADL Enviro400
LX12DFE,stagecoach-london,10130,128,ADL Enviro400
LX12DFF,stagecoach-london,10131,128,ADL Enviro400
LX12DFG,stagecoach-london,10132,128,ADL Enviro400
LX12DFJ,stagecoach-london,10133,422,ADL Enviro400
LX12DFK,stagecoach-london,10134,128,ADL Enviro400
LX12DFL,stagecoach-london,10135,294,ADL Enviro400
LX12DFN,stagecoach-london,10136,128,ADL Enviro400
LX12DFO,stagecoach-london,10137,496,ADL Enviro400
LX12DFP,stagecoach-london,10138,128,ADL Enviro400
LX12DFU,stagecoach-london,10139,128,ADL Enviro400
LX12DFV,stagecoach-london,10140,128,ADL Enviro400
LX12DFY,stagecoach-london,10141,128,ADL Enviro400
LX12DFZ,stagecoach-london,10142,128,ADL Enviro400
LX12DGE,stagecoach-london,10143,128,ADL Enviro400
LX12DGF,stagecoach-london,10144,294,ADL Enviro400
LX12DGO,stagecoach-london,10145,496,ADL Enviro400
LX12DGU,stagecoach-london,10146,651,ADL Enviro400
LX12DGV,stagecoach-london,10147,252,ADL Enviro400
LX12DGY,stagecoach-london,10148,241,ADL Enviro400
LX12DGZ,stagecoach-london,10149,667,ADL Enviro400
LX12DHA,stagecoach-london,10150,496,ADL Enviro400
LX12DHC,stagecoach-london,10151,650,ADL Enviro400
LX12DHD,stagecoach-london,10152,496,ADL Enviro400
LX12DHE,stagecoach-london,10153,667,ADL Enviro400
LX12DHF,stagecoach-london,10154,649,ADL Enviro400
EU62AXT,stagecoach-london,10155,275,ADL Enviro400
EU62AXV,stagecoach-london,10156,54,ADL Enviro400
EU62AYB,stagecoach-london,10157,54,ADL Enviro400
EU62AYE,stagecoach-london,10158,61,ADL Enviro400
EU62AZA,stagecoach-london,10159,61,ADL Enviro400
EU62AZO,stagecoach-london,10160,61,ADL Enviro400
EU62AAE,stagecoach-london,10161,61,ADL Enviro400
EU62AAO,stagecoach-london,10162,61,ADL Enviro400
EU62ADZ,stagecoach-london,10163,638,ADL Enviro400
SN63JVM,stagecoach-london,10164,177,ADL Enviro400
SN63JVO,stagecoach-london,10165,499,ADL Enviro400
SN63JVP,stagecoach-london,10166,252,ADL Enviro400
SN63JVR,stagecoach-london,10167,365,ADL Enviro400
SN63JVT,stagecoach-london,10168,252,ADL Enviro400
SN63JVU,stagecoach-london,10169,252,ADL Enviro400
SN63JVV,stagecoach-london,10170,256,ADL Enviro400
SN63JVW,stagecoach-london,10171,499,ADL Enviro400
SN63JVX,stagecoach-london,10172,365,ADL Enviro400
SN63JVY,stagecoach-london,10173,499,ADL Enviro400
SN63JWA,stagecoach-london,10175,122,ADL Enviro400
SN63JWC,stagecoach-london,10176,422,ADL Enviro400
SN63JWD,stagecoach-london,10177,122,ADL Enviro400
SN63JWE,stagecoach-london,10178,161,ADL Enviro400
SN63JWF,stagecoach-london,10179,177,ADL Enviro400
SN63JWG,stagecoach-london,10180,122,ADL Enviro400
SN63JWJ,stagecoach-london,10181,422,ADL Enviro400
SN63JWK,stagecoach-london,10182,122,ADL Enviro400
SN63JWL,stagecoach-london,10183,177,ADL Enviro400
SN63NBD,stagecoach-london,10184,122,ADL Enviro400
SN63NBE,stagecoach-london,10185,122,ADL Enviro400
SN63NBF,stagecoach-london,10186,177,ADL Enviro400
SN63NBG,stagecoach-london,10187,161,ADL Enviro400
SN63NBJ,stagecoach-london,10188,122,ADL Enviro400
SN63NBK,stagecoach-london,10189,122,ADL Enviro400
SN63NBL,stagecoach-london,10190,422,ADL Enviro400
SN63NBM,stagecoach-london,10191,422,ADL Enviro400
SN63NBO,stagecoach-london,10192,161,ADL Enviro400
SN63NBX,stagecoach-london,10193,180,ADL Enviro400
SN63NBY,stagecoach-london,10194,177,ADL Enviro400
SN63NBZ,stagecoach-london,10195,122,ADL Enviro400
SL14DDE,stagecoach-london,10197,61,ADL Enviro400
SL64HYX,stagecoach-london,10198,638,ADL Enviro400
YY15OYS,stagecoach-london,10301,294,ADL Enviro400 MMC
YY15OYT,stagecoach-london,10302,498,ADL Enviro400 MMC
YY15OYU,stagecoach-london,10303,294,ADL Enviro400 MMC
YY15OYV,stagecoach-london,10304,128,ADL Enviro400 MMC
YY15OYW,stagecoach-london,10305,498,ADL Enviro400 MMC
YY15OYX,stagecoach-london,10306,294,ADL Enviro400 MMC
YY15OYZ,stagecoach-london,10307,294,ADL Enviro400 MMC
SN16OJM,stagecoach-london,10308,179,ADL Enviro400 MMC
SN16OJO,stagecoach-london,10309,62,ADL Enviro400 MMC
SN16OJP,stagecoach-london,10310,238,ADL Enviro400 MMC
SN16OJR,stagecoach-london,10311,179,ADL Enviro400 MMC
SN16OJS,stagecoach-london,10312,179,ADL Enviro400 MMC
SN16OJT,stagecoach-london,10313,62,ADL Enviro400 MMC
SN16OJU,stagecoach-london,10314,62,ADL Enviro400 MMC
SN16OJV,stagecoach-london,10315,238,ADL Enviro400 MMC
SN16OJW,stagecoach-london,10316,238,ADL Enviro400 MMC
SN16OJX,stagecoach-london,10317,179,ADL Enviro400 MMC
SN16OJY,stagecoach-london,10318,62,ADL Enviro400 MMC
SN16OJZ,stagecoach-london,10319,62,ADL Enviro400 MMC
SN16OKA,stagecoach-london,10320,62,ADL Enviro400 MMC
SN16OKB,stagecoach-london,10321,179,ADL Enviro400 MMC
SN16OKC,stagecoach-london,10322,62,ADL Enviro400 MMC
SN16OKD,stagecoach-london,10323,145,ADL Enviro400 MMC
SN16OKF,stagecoach-london,10324,62,ADL Enviro400 MMC
SN16OKG,stagecoach-london,10325,238,ADL Enviro400 MMC
SN16OKH,stagecoach-london,10326,62,ADL Enviro400 MMC
SN16OKJ,stagecoach-london,10327,62,ADL Enviro400 MMC
SN16OKK,stagecoach-london,10328,62,ADL Enviro400 MMC
SN16OKL,stagecoach-london,10329,238,ADL Enviro400 MMC
SN16OKM,stagecoach-london,10330,179,ADL Enviro400 MMC
SN16OKO,stagecoach-london,10331,238,ADL Enviro400 MMC
SN16OKP,stagecoach-london,10332,62,ADL Enviro400 MMC
SN16OKR,stagecoach-london,10333,294,ADL Enviro400 MMC
SN16OKS,stagecoach-london,10334,498,ADL Enviro400 MMC
SN16OKT,stagecoach-london,10335,294,ADL Enviro400 MMC
SN16OKU,stagecoach-london,10336,128,ADL Enviro400 MMC
SN16OKV,stagecoach-london,10337,498,ADL Enviro400 MMC
SN16OKW,stagecoach-london,10338,294,ADL Enviro400 MMC
SN16OKX,stagecoach-london,10339,294,ADL Enviro400 MMC
SN16OKZ,stagecoach-london,10340,294,ADL Enviro400 MMC
SN16OLB,stagecoach-london,10341,498,ADL Enviro400 MMC
SN16OLC,stagecoach-london,10342,294,ADL Enviro400 MMC
SN16OLG,stagecoach-london,10343,498,ADL Enviro400 MMC
SN16OLH,stagecoach-london,10344,294,ADL Enviro400 MMC
SN16OLJ,stagecoach-london,10345,498,ADL Enviro400 MMC
SN16OLK,stagecoach-london,10346,365,ADL Enviro400 MMC
