route_id,make,vehicle_type,propulsion,deck,vehicle_age_years,operator,pvr
1,ALEXANDER DENNIS,B5LH/Gemini 3,hybrid,double,9.6,Go-Ahead,23
100,BYD,D8UR/Enviro200 MMC EV,electric,single,5.2,Go-Ahead,9
101,BYD,BYD B11E02 10.9m,electric,single,1.4,Go-Ahead,9
102,VOLVO,B5LH/Gemini 2,hybrid,double,10.3,Arriva,26
103,VOLVO,Trident/Enviro400,diesel,double,9.2,Arriva,14
104,ALEXANDER DENNIS,Trident/Enviro400,diesel,double,12.6,Go-Ahead,12
105,VOLVO,B5LH/Gemini 3,hybrid,double,8.9,First,16
106,BYD,DD/Enviro400EV City,electric,double,5.5,Go-Ahead,15
107,VOLVO,B5LH/Gemini 3,hybrid,double,10.1,Metroline,11
108,BYD D9UR,D9UR/Enviro200 MMC EV,electric,single,9.2,Go-Ahead,18
108D,,,,,,,
109,ALEXANDER DENNIS,E40H/Enviro400H MMC,hybrid,double,10.8,Transport UK,26
11,WRIGHTBUS,New Bus for London,hybrid,double,,Go-Ahead,14
110,ALEXANDER DENNIS,E20D/Enviro200 MMC,diesel,single,8.3,First,11
111,WRIGHTBUS,Streetdeck Electroliner 10.5m,electric,double,3.6,Transport UK,26
112,ALEXANDER DENNIS,E20D/Enviro200 MMC,diesel,single,9,Metroline,17
113,WRIGHTBUS,Streetdeck Electroliner 10.5m,electric,double,2.7,Metroline,21
114,VOLVO,B5LH/Gemini 3,hybrid,double,9.9,Metroline,17
115,ALEXANDER DENNIS,E40H/Enviro400H MMC,hybrid,double,8.7,Go-Ahead,18
116,VOLVO,B5LH/Gemini 3,hybrid,double,8.8,First,7
117,ALEXANDER DENNIS,Citaro K 10.5m,diesel,single,8.8,First,10
119,BYD,DD/Enviro400EV City,electric,double,3.7,Go-Ahead,14
12,WRIGHTBUS,New Bus for London,hybrid,double,,Go-Ahead,15
120,VOLVO,B5LH/Gemini 3,hybrid,double,9,Metroline,17
121,WRIGHTBUS,DB300/Gemini 2,diesel,double,13.2,Arriva,22
122,ALEXANDER DENNIS,E40H/Enviro400H,hybrid,double,11.3,Stagecoach London,19
123,VOLVO,?,diesel,,10.3,Arriva,20
124,ALEXANDER DENNIS,E20D/Enviro200,diesel,single,12.3,Stagecoach London,17
125,BYD,DD/Enviro400EV City,electric,double,4.4,First,18
126,ALEXANDER DENNIS,E20D/Enviro200,diesel,single,13.6,Go-Ahead,11
127,ALEXANDER DENNIS,Trident/Enviro400,diesel,double,14.3,Go-Ahead,17
128,ALEXANDER DENNIS,E40D/Enviro400,diesel,double,13.7,Stagecoach London,15
129,BYD,BYD B11E02 10.9m,electric,single,1.4,Go-Ahead,22
13,VOLVO,B5LH/EvoSeti,hybrid,double,9.8,First,21
130,ALEXANDER DENNIS,E20D/Enviro200 MMC,diesel,single,9.5,Transport UK,12
131,WRIGHTBUS,Streetdeck Electroliner 10.5m,electric,double,1.4,Go-Ahead,21
132,BYD,DD/Enviro400EV City,electric,double,3.5,Go-Ahead,16
133,WRIGHTBUS,Streetdeck Electroliner 10.5m,electric,double,2.1,Transport UK,24
134,WRIGHTBUS,MetroDecker EV 10.5m,electric,double,2.4,Metroline,20
135,VOLVO,B5LH/Gemini 3,hybrid,double,9.8,Stagecoach London,15
136,ALEXANDER DENNIS,E40D/Enviro400,diesel,double,7.9,Stagecoach London,22
137,WRIGHTBUS,New Bus for London,hybrid,double,,Arriva,28
138,ALEXANDER DENNIS,E20D/Enviro200 1D ?,diesel,single,10.2,Stagecoach London,3
139,VOLVO,B5LH/Eclipse Gemini,hybrid,double,10.9,Metroline,18
14,VOLVO,E40H/Enviro400H MMC,hybrid,double,10.2,Go-Ahead,21
140,VOLVO,B5LH/Gemini 3,hybrid,double,10.5,Metroline,21
141,BYD,BYD B11E02 10.9m,electric,single,0.9,Arriva,25
142,BYD,DD/Enviro400EV City,electric,double,3.2,Metroline,16
143,WRIGHTBUS,Kite Electroliner 10.3m,electric,single,1.6,Metroline,14
144,VOLVO,B5LH/Gemini 3,hybrid,double,10.1,Go-Ahead,15
145,ALEXANDER DENNIS,E40H/Enviro400H MMC,hybrid,double,9.5,Stagecoach London,17
146,ALEXANDER DENNIS,E20D/Enviro200 MMC,diesel,single,9.9,Stagecoach London,1
147,VOLVO,E40D/Enviro400,diesel,double,11.3,Go-Ahead,20
148,BYD,New Bus for London,hybrid,double,6,First,17
149,VOLVO,New Bus for London,hybrid,double,8.8,Arriva,30
15,VOLVO,New Bus for London,hybrid,double,9.5,Go-Ahead,14
150,VOLVO,Trident/Enviro400,diesel,double,12.6,Arriva,15
151,WRIGHTBUS,Streetdeck Electroliner 10.5m,electric,double,1.4,Go-Ahead,15
152,BYD,D8UR/Enviro200MMC EV,electric,single,2.7,Go-Ahead,14
153,WRIGHTBUS,Kite Electroliner 10.9m,electric,single,4.2,Metroline,9
154,BYD,DD/Enviro400EV City,electric,double,3.2,Go-Ahead,16
155,VOLVO,B5LH/Gemini 3,hybrid,double,10,Go-Ahead,17
156,ALEXANDER DENNIS,E40H/Enviro400H,hybrid,double,11.4,Transport UK,15
157,BYD,DD/E400MMC EV,electric,double,2.4,Go-Ahead,17
158,WRIGHTBUS,DB300/Gemini 2,diesel,double,11.3,Arriva,25
159,WRIGHTBUS,New Bus for London,hybrid,double,,Transport UK,22
16,WRIGHTBUS,New Bus for London,hybrid,double,1.3,Metroline,15
160,BYD,DD/Enviro400EV City,electric,double,4.6,Stagecoach London,13
161,ALEXANDER DENNIS,E40H/Enviro400H MMC,hybrid,double,10.3,Stagecoach London,16
162,ALEXANDER DENNIS,E200Dart/Enviro200,diesel,single,13,Go-Ahead,10
163,BYD,D8UR/Enviro200MMC EV,electric,single,5,Go-Ahead,11
164,BYD,D8UR/Enviro200MMC EV,electric,single,4.5,Go-Ahead,12
165,WRIGHTBUS,Trident/Enviro400,electric,double,0.7,Stagecoach London,13
166,BYD,E200Dart/Enviro200,electric,single,0.4,Arriva,8
167,ALEXANDER DENNIS,E20D/Enviro200 MMC,diesel,single,9.8,Stagecoach London,7
169,WRIGHTBUS,Streetdeck Electroliner 10.5m,electric,double,1.1,Stagecoach London,14
17,BYD,New Bus for London,hybrid,double,6.9,Metroline,15
170,ALEXANDER DENNIS,E200Dart/Enviro200,diesel,single,10.5,Go-Ahead,18
171,ALEXANDER DENNIS,E40H/Enviro400H MMC,hybrid,double,8.4,Go-Ahead,15
172,WRIGHTBUS,E40H/Enviro400H MMC,hybrid,double,1,Go-Ahead,14
173,WRIGHTBUS,DD/Enviro400EV City,electric,double,1.1,Stagecoach London,16
174,WRIGHTBUS,DD/Enviro400EV City,electric,double,0.7,Stagecoach London,26
175,VOLVO,DB300/Gemini 2,diesel,double,12.5,Arriva,14
176,VOLVO,New Bus for London,hybrid,double,9.9,Go-Ahead,22
177,ALEXANDER DENNIS,B5LH/Enviro400H MMC,hybrid,double,11.3,Stagecoach London,21
178,ALEXANDER DENNIS,E40D/Enviro400,diesel,double,14,Go-Ahead,7
179,ALEXANDER DENNIS,E40D/Enviro400,diesel,double,10.1,Stagecoach London,13
18,BYD,B5LH/Gemini 3,hybrid,double,0.6,First,37
180,ALEXANDER DENNIS,E40H/Enviro400H,hybrid,double,10,Stagecoach London,17
181,ALEXANDER DENNIS,E20D/Enviro200 MMC,diesel,single,8.3,Stagecoach London,13
182,VOLVO,B5LH/Gemini 3,hybrid,double,10.2,Metroline,23
183,BYD,DD/Enviro400EV City,electric,double,4.2,First,19
184,BYD,D8UR/Enviro200MMC EV,electric,single,5.6,Go-Ahead,18
185,BYD,E40H/Enviro400H MMC,hybrid,double,2.7,Go-Ahead,24
186,VOLVO,B5LH/Gemini 2,hybrid,double,10.2,Metroline,16
187,VOLVO,BZL (sd)/MCV,electric,single,2.6,Metroline,11
188,BYD,BYD B11E02 10.9m,electric,single,0.8,Go-Ahead,22
189,WRIGHTBUS,New Bus for London,hybrid,double,,Metroline,16
19,WRIGHTBUS,New Bus for London,hybrid,double,,Arriva,21
190,ALEXANDER DENNIS,E20D/Enviro200 MMC,diesel,single,9.5,Metroline,10
191,WRIGHTBUS,DB300/Gemini 2,diesel,double,13.2,Arriva,19
192,ALEXANDER DENNIS,E20D/Enviro200 MMC,diesel,single,6.7,Arriva,15
193,ALEXANDER DENNIS,E20D/Enviro200 MMC,diesel,single,8.2,Stagecoach London,11
194,WRIGHTBUS,DB300/Gemini 2,diesel,double,14.6,Arriva,14
