# Source: bustimes.org operator-fleet pages joined to TfL arrivals registrations.
# A row appears here only when ≥2 registrations from this route appeared in the
# bustimes operator fleet page AND the dominant propulsion implied by their vehicle
# type strings disagrees with our_propulsion.

category,route_id,our_vehicle_type,our_propulsion,bustimes_dominant,bustimes_types,observed
ours=diesel; bustimes=hybrid,136,E40D/Enviro400,diesel,hybrid,Volvo B5LH ADL Enviro400 MMC | ADL Enviro400 MMC,3
ours=diesel; bustimes=hybrid,175,DB300/Gemini 2,diesel,hybrid,Volvo B5LH Wright Eclipse Gemini 3,2
ours=diesel; bustimes=hybrid,190,E20D/Enviro200 MMC,diesel,hybrid,Volvo B5LH MCV EvoSeti | ADL Enviro200 MMC,2
ours=diesel; bustimes=hybrid,28,B9TL/Gemini 2,diesel,hybrid,Volvo B9TL Wright Eclipse Gemini 2,3
ours=diesel; bustimes=hybrid,297,B9TL/Gemini 2,diesel,hybrid,Volvo B9TL Wright Eclipse Gemini 2 | Volvo B5LH Wright Eclipse Gemini 3,4
ours=diesel; bustimes=hybrid,36,E40D/Enviro400,diesel,hybrid,ADL Enviro400H MMC,7
ours=diesel; bustimes=hybrid,41,DB300/Gemini 2,diesel,hybrid,Volvo B5LH Wright Eclipse Gemini 3 | Wright StreetDeck Electroliner,2
ours=diesel; bustimes=hybrid,422,Trident/Enviro400,diesel,hybrid,Volvo B5LH ADL Enviro400 MMC | ADL Enviro400H | ADL Enviro400 | ADL Enviro400 MMC,6
ours=diesel; bustimes=hybrid,483,B9TL/Gemini 2,diesel,hybrid,Volvo B5LH Wright Eclipse Gemini 3 | Volvo B5LH MCV EvoSeti,5
ours=diesel; bustimes=hybrid,97,Streetdeck/Gemini 3,diesel,hybrid,Volvo B5LH ADL Enviro400 MMC | Volvo B5LH MCV EvoSeti | Wright StreetDeck HEV,3
ours=diesel; bustimes=hybrid,E1,B9TL/Gemini 2,diesel,hybrid,Volvo B9TL Wright Eclipse Gemini 2 | Volvo B5LH Wright Eclipse Gemini 3,4
ours=diesel; bustimes=hybrid,E2,B9TL/Gemini 2,diesel,hybrid,Volvo B9TL Wright Eclipse Gemini 2 | Volvo B5LH Wright Eclipse Gemini 3,7
ours=diesel; bustimes=hybrid,E8,B9TL/Gemini 2,diesel,hybrid,Volvo B5LH MCV EvoSeti | Volvo B5LH Wright Eclipse Gemini 3,7
ours=diesel; bustimes=hybrid,N551,E40D/Enviro400 MMC,diesel,hybrid,ADL Enviro400H MMC,5
ours=diesel; bustimes=hybrid,N83,B9TL/Gemini 2,diesel,hybrid,Volvo B5LH MCV EvoSeti | Volvo B5LH Wright Eclipse Gemini 3,3
